Datetime,AQI,Lag_1,First_diff
2020-03-05 00:00:00,103.0,103.0,0.0
2020-03-05 01:00:00,103.0,103.0,0.0
2020-03-05 02:00:00,103.0,103.0,0.0
2020-03-05 03:00:00,103.0,103.0,0.0
2020-03-05 04:00:00,103.0,103.0,0.0
2020-03-05 05:00:00,103.0,103.0,0.0
2020-03-05 06:00:00,103.0,103.0,0.0
2020-03-05 07:00:00,103.0,103.0,0.0
2020-03-05 08:00:00,103.0,103.0,0.0
2020-03-05 09:00:00,103.0,103.0,0.0
2020-03-05 10:00:00,103.0,103.0,0.0
2020-03-05 11:00:00,103.0,103.0,0.0
2020-03-05 12:00:00,103.0,103.0,0.0
2020-03-05 13:00:00,103.0,103.0,0.0
2020-03-05 14:00:00,103.0,103.0,0.0
2020-03-05 15:00:00,103.0,103.0,-3.0
2020-03-05 16:00:00,100.0,103.0,0.0
2020-03-05 17:00:00,100.0,100.0,-1.0
2020-03-05 18:00:00,99.0,100.0,-2.0
2020-03-05 19:00:00,97.0,99.0,-1.0
2020-03-05 20:00:00,96.0,97.0,-2.0
2020-03-05 21:00:00,94.0,96.0,-3.0
2020-03-05 22:00:00,91.0,94.0,-3.0
2020-03-05 23:00:00,88.0,91.0,-3.0
2020-03-06 00:00:00,85.0,88.0,-3.0
2020-03-06 01:00:00,82.0,85.0,-3.0
2020-03-06 02:00:00,79.0,82.0,-3.0
2020-03-06 03:00:00,76.0,79.0,-4.0
2020-03-06 04:00:00,72.0,76.0,-3.0
2020-03-06 05:00:00,69.0,72.0,-3.0
2020-03-06 06:00:00,66.0,69.0,-3.0
2020-03-06 07:00:00,63.0,66.0,-3.0
2020-03-06 08:00:00,60.0,63.0,-3.0
2020-03-06 09:00:00,57.0,60.0,-2.0
2020-03-06 10:00:00,55.0,57.0,-3.0
2020-03-06 11:00:00,52.0,55.0,-3.0
2020-03-06 12:00:00,49.0,52.0,-2.0
2020-03-06 13:00:00,47.0,49.0,-2.0
2020-03-06 14:00:00,45.0,47.0,-3.0
2020-03-06 15:00:00,42.0,45.0,0.0
2020-03-06 16:00:00,42.0,42.0,-1.0
2020-03-06 17:00:00,41.0,42.0,-2.0
2020-03-06 18:00:00,39.0,41.0,1.0
2020-03-06 19:00:00,40.0,39.0,4.0
2020-03-06 20:00:00,44.0,40.0,3.0
2020-03-06 21:00:00,47.0,44.0,0.0
2020-03-06 22:00:00,47.0,47.0,-3.0
2020-03-06 23:00:00,44.0,47.0,-4.0
2020-03-07 00:00:00,40.0,44.0,-1.0
2020-03-07 01:00:00,39.0,40.0,1.0
2020-03-07 02:00:00,40.0,39.0,0.0
2020-03-07 03:00:00,40.0,40.0,1.0
2020-03-07 04:00:00,41.0,40.0,0.0
2020-03-07 05:00:00,41.0,41.0,1.0
2020-03-07 06:00:00,42.0,41.0,0.0
2020-03-07 07:00:00,42.0,42.0,1.0
2020-03-07 08:00:00,43.0,42.0,1.0
2020-03-07 09:00:00,44.0,43.0,2.0
2020-03-07 10:00:00,46.0,44.0,1.0
2020-03-07 11:00:00,47.0,46.0,1.0
2020-03-07 12:00:00,48.0,47.0,1.0
2020-03-07 13:00:00,49.0,48.0,2.0
2020-03-07 14:00:00,51.0,49.0,1.0
2020-03-07 15:00:00,52.0,51.0,0.0
2020-03-07 16:00:00,52.0,52.0,1.0
2020-03-07 17:00:00,53.0,52.0,2.0
2020-03-07 18:00:00,55.0,53.0,2.0
2020-03-07 19:00:00,57.0,55.0,3.0
