AQI,Station_name,Time
133,"NISE Gwal Pahari, Gurugram, India",2023-11-28 20:00:00
160,"NISE Gwal Pahari, Gurugram, India",2023-11-28 21:00:00
161,"NISE Gwal Pahari, Gurugram, India",2023-11-28 22:00:00
159,"NISE Gwal Pahari, Gurugram, India",2023-11-28 23:00:00
170,"NISE Gwal Pahari, Gurugram, India",2023-11-29 00:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-11-29 01:00:00
180,"NISE Gwal Pahari, Gurugram, India",2023-11-29 02:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-11-29 03:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-11-29 04:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-11-29 05:00:00
177,"NISE Gwal Pahari, Gurugram, India",2023-11-29 06:00:00
170,"NISE Gwal Pahari, Gurugram, India",2023-11-29 07:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-11-29 08:00:00
188,"NISE Gwal Pahari, Gurugram, India",2023-11-29 10:00:00
169,"NISE Gwal Pahari, Gurugram, India",2023-11-29 11:00:00
167,"NISE Gwal Pahari, Gurugram, India",2023-11-29 12:00:00
175,"NISE Gwal Pahari, Gurugram, India",2023-11-29 13:00:00
219,"NISE Gwal Pahari, Gurugram, India",2023-11-29 17:00:00
204,"NISE Gwal Pahari, Gurugram, India",2023-11-29 18:00:00
194,"NISE Gwal Pahari, Gurugram, India",2023-11-29 20:00:00
185,"NISE Gwal Pahari, Gurugram, India",2023-11-30 00:00:00
174,"NISE Gwal Pahari, Gurugram, India",2023-11-30 01:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-11-30 02:00:00
176,"NISE Gwal Pahari, Gurugram, India",2023-11-30 03:00:00
184,"NISE Gwal Pahari, Gurugram, India",2023-11-30 04:00:00
178,"NISE Gwal Pahari, Gurugram, India",2023-11-30 05:00:00
189,"NISE Gwal Pahari, Gurugram, India",2023-11-30 07:00:00
220,"NISE Gwal Pahari, Gurugram, India",2023-11-30 08:00:00
200,"NISE Gwal Pahari, Gurugram, India",2023-11-30 09:00:00
225,"NISE Gwal Pahari, Gurugram, India",2023-11-30 10:00:00
256,"NISE Gwal Pahari, Gurugram, India",2023-11-30 11:00:00
318,"NISE Gwal Pahari, Gurugram, India",2023-11-30 12:00:00
318,"NISE Gwal Pahari, Gurugram, India",2023-11-30 13:00:00
241,"NISE Gwal Pahari, Gurugram, India",2023-11-30 15:00:00
249,"NISE Gwal Pahari, Gurugram, India",2023-11-30 16:00:00
241,"NISE Gwal Pahari, Gurugram, India",2023-11-30 17:00:00
223,"NISE Gwal Pahari, Gurugram, India",2023-11-30 18:00:00
181,"NISE Gwal Pahari, Gurugram, India",2023-11-30 20:00:00
234,"NISE Gwal Pahari, Gurugram, India",2023-11-30 21:00:00
280,"NISE Gwal Pahari, Gurugram, India",2023-11-30 22:00:00
