AQI,Station_name,Time
121,"Teri Gram, Gurugram, India",2023-11-28 20:00:00
143,"Teri Gram, Gurugram, India",2023-11-28 21:00:00
141,"Teri Gram, Gurugram, India",2023-11-28 22:00:00
136,"Teri Gram, Gurugram, India",2023-11-28 23:00:00
132,"Teri Gram, Gurugram, India",2023-11-29 00:00:00
148,"Teri Gram, Gurugram, India",2023-11-29 01:00:00
172,"Teri Gram, Gurugram, India",2023-11-29 02:00:00
177,"Teri Gram, Gurugram, India",2023-11-29 03:00:00
172,"Teri Gram, Gurugram, India",2023-11-29 04:00:00
162,"Teri Gram, Gurugram, India",2023-11-29 05:00:00
150,"Teri Gram, Gurugram, India",2023-11-29 07:00:00
167,"Teri Gram, Gurugram, India",2023-11-29 09:00:00
157,"Teri Gram, Gurugram, India",2023-11-29 10:00:00
183,"Teri Gram, Gurugram, India",2023-11-29 11:00:00
179,"Teri Gram, Gurugram, India",2023-11-29 12:00:00
183,"Teri Gram, Gurugram, India",2023-11-29 13:00:00
189,"Teri Gram, Gurugram, India",2023-11-29 14:00:00
189,"Teri Gram, Gurugram, India",2023-11-29 15:00:00
189,"Teri Gram, Gurugram, India",2023-11-29 16:00:00
190,"Teri Gram, Gurugram, India",2023-11-29 17:00:00
190,"Teri Gram, Gurugram, India",2023-11-29 18:00:00
187,"Teri Gram, Gurugram, India",2023-11-29 22:00:00
190,"Teri Gram, Gurugram, India",2023-11-29 23:00:00
190,"Teri Gram, Gurugram, India",2023-11-30 00:00:00
186,"Teri Gram, Gurugram, India",2023-11-30 01:00:00
183,"Teri Gram, Gurugram, India",2023-11-30 02:00:00
188,"Teri Gram, Gurugram, India",2023-11-30 03:00:00
177,"Teri Gram, Gurugram, India",2023-11-30 04:00:00
177,"Teri Gram, Gurugram, India",2023-11-30 05:00:00
179,"Teri Gram, Gurugram, India",2023-11-30 06:00:00
178,"Teri Gram, Gurugram, India",2023-11-30 08:00:00
177,"Teri Gram, Gurugram, India",2023-11-30 09:00:00
178,"Teri Gram, Gurugram, India",2023-11-30 10:00:00
182,"Teri Gram, Gurugram, India",2023-11-30 12:00:00
185,"Teri Gram, Gurugram, India",2023-11-30 13:00:00
190,"Teri Gram, Gurugram, India",2023-11-30 14:00:00
190,"Teri Gram, Gurugram, India",2023-11-30 15:00:00
190,"Teri Gram, Gurugram, India",2023-11-30 16:00:00
190,"Teri Gram, Gurugram, India",2023-11-30 17:00:00
189,"Teri Gram, Gurugram, India",2023-11-30 18:00:00
186,"Teri Gram, Gurugram, India",2023-11-30 19:00:00
191,"Teri Gram, Gurugram, India",2023-11-30 20:00:00
189,"Teri Gram, Gurugram, India",2023-11-30 21:00:00
189,"Teri Gram, Gurugram, India",2023-11-30 22:00:00
189,"Teri Gram, Gurugram, India",2023-11-30 23:00:00
190,"Teri Gram, Gurugram, India",2023-12-01 00:00:00
185,"Teri Gram, Gurugram, India",2023-12-01 01:00:00
183,"Teri Gram, Gurugram, India",2023-12-01 02:00:00
189,"Teri Gram, Gurugram, India",2023-12-01 03:00:00
177,"Teri Gram, Gurugram, India",2023-12-01 04:00:00
177,"Teri Gram, Gurugram, India",2023-12-01 05:00:00
178,"Teri Gram, Gurugram, India",2023-12-01 07:00:00
177,"Teri Gram, Gurugram, India",2023-12-01 08:00:00
178,"Teri Gram, Gurugram, India",2023-12-01 09:00:00
177,"Teri Gram, Gurugram, India",2023-12-01 10:00:00
178,"Teri Gram, Gurugram, India",2023-12-01 11:00:00
181,"Teri Gram, Gurugram, India",2023-12-01 12:00:00
-,"Teri Gram, Gurugram, India",2023-12-01 13:00:00
417,"Teri Gram, Gurugram, India",2023-12-02 11:00:00
174,"Teri Gram, Gurugram, India",2023-12-02 12:00:00
758,"Teri Gram, Gurugram, India",2023-12-02 16:00:00
121,"Teri Gram, Gurugram, India",2023-12-02 17:00:00
119,"Teri Gram, Gurugram, India",2023-12-02 18:00:00
152,"Teri Gram, Gurugram, India",2023-12-02 19:00:00
203,"Teri Gram, Gurugram, India",2023-12-02 21:00:00
202,"Teri Gram, Gurugram, India",2023-12-02 22:00:00
388,"Teri Gram, Gurugram, India",2023-12-02 23:00:00
205,"Teri Gram, Gurugram, India",2023-12-03 00:00:00
154,"Teri Gram, Gurugram, India",2023-12-03 01:00:00
182,"Teri Gram, Gurugram, India",2023-12-03 02:00:00
402,"Teri Gram, Gurugram, India",2023-12-03 03:00:00
180,"Teri Gram, Gurugram, India",2023-12-03 04:00:00
187,"Teri Gram, Gurugram, India",2023-12-03 05:00:00
302,"Teri Gram, Gurugram, India",2023-12-03 07:00:00
159,"Teri Gram, Gurugram, India",2023-12-03 08:00:00
246,"Teri Gram, Gurugram, India",2023-12-03 09:00:00
473,"Teri Gram, Gurugram, India",2023-12-03 10:00:00
357,"Teri Gram, Gurugram, India",2023-12-03 11:00:00
183,"Teri Gram, Gurugram, India",2023-12-03 12:00:00
134,"Teri Gram, Gurugram, India",2023-12-03 13:00:00
93,"Teri Gram, Gurugram, India",2023-12-03 14:00:00
109,"Teri Gram, Gurugram, India",2023-12-03 15:00:00
233,"Teri Gram, Gurugram, India",2023-12-03 16:00:00
101,"Teri Gram, Gurugram, India",2023-12-03 17:00:00
178,"Teri Gram, Gurugram, India",2023-12-03 18:00:00
304,"Teri Gram, Gurugram, India",2023-12-03 19:00:00
309,"Teri Gram, Gurugram, India",2023-12-03 20:00:00
234,"Teri Gram, Gurugram, India",2023-12-03 21:00:00
194,"Teri Gram, Gurugram, India",2023-12-03 22:00:00
168,"Teri Gram, Gurugram, India",2023-12-03 23:00:00
144,"Teri Gram, Gurugram, India",2023-12-04 00:00:00
191,"Teri Gram, Gurugram, India",2023-12-04 01:00:00
190,"Teri Gram, Gurugram, India",2023-12-04 02:00:00
158,"Teri Gram, Gurugram, India",2023-12-04 03:00:00
211,"Teri Gram, Gurugram, India",2023-12-04 04:00:00
173,"Teri Gram, Gurugram, India",2023-12-04 05:00:00
131,"Teri Gram, Gurugram, India",2023-12-04 07:00:00
168,"Teri Gram, Gurugram, India",2023-12-04 08:00:00
280,"Teri Gram, Gurugram, India",2023-12-04 09:00:00
379,"Teri Gram, Gurugram, India",2023-12-04 10:00:00
142,"Teri Gram, Gurugram, India",2023-12-04 11:00:00
169,"Teri Gram, Gurugram, India",2023-12-04 13:00:00
200,"Teri Gram, Gurugram, India",2023-12-04 19:00:00
215,"Teri Gram, Gurugram, India",2023-12-04 21:00:00
232,"Teri Gram, Gurugram, India",2023-12-04 23:00:00
228,"Teri Gram, Gurugram, India",2023-12-05 00:00:00
226,"Teri Gram, Gurugram, India",2023-12-05 01:00:00
215,"Teri Gram, Gurugram, India",2023-12-05 02:00:00
229,"Teri Gram, Gurugram, India",2023-12-05 03:00:00
252,"Teri Gram, Gurugram, India",2023-12-05 04:00:00
210,"Teri Gram, Gurugram, India",2023-12-05 11:00:00
156,"Teri Gram, Gurugram, India",2023-12-05 15:00:00
144,"Teri Gram, Gurugram, India",2023-12-05 19:00:00
183,"Teri Gram, Gurugram, India",2023-12-07 04:00:00
185,"Teri Gram, Gurugram, India",2023-12-07 05:00:00
183,"Teri Gram, Gurugram, India",2023-12-07 07:00:00
185,"Teri Gram, Gurugram, India",2023-12-07 08:00:00
189,"Teri Gram, Gurugram, India",2023-12-07 09:00:00
198,"Teri Gram, Gurugram, India",2023-12-07 10:00:00
290,"Teri Gram, Gurugram, India",2023-12-07 11:00:00
197,"Teri Gram, Gurugram, India",2023-12-07 13:00:00
195,"Teri Gram, Gurugram, India",2023-12-08 05:00:00
191,"Teri Gram, Gurugram, India",2023-12-08 07:00:00
195,"Teri Gram, Gurugram, India",2023-12-08 08:00:00
188,"Teri Gram, Gurugram, India",2023-12-08 11:00:00
165,"Teri Gram, Gurugram, India",2023-12-08 13:00:00
137,"Teri Gram, Gurugram, India",2023-12-08 15:00:00
125,"Teri Gram, Gurugram, India",2023-12-08 16:00:00
151,"Teri Gram, Gurugram, India",2023-12-08 18:00:00
154,"Teri Gram, Gurugram, India",2023-12-08 19:00:00
166,"Teri Gram, Gurugram, India",2023-12-08 21:00:00
172,"Teri Gram, Gurugram, India",2023-12-08 22:00:00
180,"Teri Gram, Gurugram, India",2023-12-08 23:00:00
181,"Teri Gram, Gurugram, India",2023-12-09 00:00:00
185,"Teri Gram, Gurugram, India",2023-12-09 01:00:00
189,"Teri Gram, Gurugram, India",2023-12-09 02:00:00
190,"Teri Gram, Gurugram, India",2023-12-09 03:00:00
199,"Teri Gram, Gurugram, India",2023-12-09 04:00:00
200,"Teri Gram, Gurugram, India",2023-12-09 05:00:00
195,"Teri Gram, Gurugram, India",2023-12-09 07:00:00
193,"Teri Gram, Gurugram, India",2023-12-09 08:00:00
194,"Teri Gram, Gurugram, India",2023-12-09 09:00:00
198,"Teri Gram, Gurugram, India",2023-12-09 10:00:00
195,"Teri Gram, Gurugram, India",2023-12-09 11:00:00
183,"Teri Gram, Gurugram, India",2023-12-09 12:00:00
168,"Teri Gram, Gurugram, India",2023-12-09 14:00:00
162,"Teri Gram, Gurugram, India",2023-12-09 15:00:00
153,"Teri Gram, Gurugram, India",2023-12-09 16:00:00
136,"Teri Gram, Gurugram, India",2023-12-09 17:00:00
154,"Teri Gram, Gurugram, India",2023-12-09 18:00:00
159,"Teri Gram, Gurugram, India",2023-12-09 19:00:00
176,"Teri Gram, Gurugram, India",2023-12-09 20:00:00
181,"Teri Gram, Gurugram, India",2023-12-09 21:00:00
189,"Teri Gram, Gurugram, India",2023-12-09 22:00:00
190,"Teri Gram, Gurugram, India",2023-12-09 23:00:00
189,"Teri Gram, Gurugram, India",2023-12-10 00:00:00
188,"Teri Gram, Gurugram, India",2023-12-10 01:00:00
190,"Teri Gram, Gurugram, India",2023-12-10 02:00:00
191,"Teri Gram, Gurugram, India",2023-12-10 04:00:00
192,"Teri Gram, Gurugram, India",2023-12-10 05:00:00
191,"Teri Gram, Gurugram, India",2023-12-10 07:00:00
195,"Teri Gram, Gurugram, India",2023-12-10 08:00:00
211,"Teri Gram, Gurugram, India",2023-12-10 09:00:00
211,"Teri Gram, Gurugram, India",2023-12-10 10:00:00
195,"Teri Gram, Gurugram, India",2023-12-10 11:00:00
185,"Teri Gram, Gurugram, India",2023-12-10 12:00:00
171,"Teri Gram, Gurugram, India",2023-12-10 13:00:00
171,"Teri Gram, Gurugram, India",2023-12-10 14:00:00
168,"Teri Gram, Gurugram, India",2023-12-10 15:00:00
161,"Teri Gram, Gurugram, India",2023-12-10 16:00:00
157,"Teri Gram, Gurugram, India",2023-12-10 17:00:00
165,"Teri Gram, Gurugram, India",2023-12-10 18:00:00
170,"Teri Gram, Gurugram, India",2023-12-10 19:00:00
183,"Teri Gram, Gurugram, India",2023-12-10 20:00:00
190,"Teri Gram, Gurugram, India",2023-12-10 21:00:00
191,"Teri Gram, Gurugram, India",2023-12-10 22:00:00
194,"Teri Gram, Gurugram, India",2023-12-10 23:00:00
198,"Teri Gram, Gurugram, India",2023-12-11 00:00:00
210,"Teri Gram, Gurugram, India",2023-12-11 01:00:00
205,"Teri Gram, Gurugram, India",2023-12-11 02:00:00
209,"Teri Gram, Gurugram, India",2023-12-11 03:00:00
208,"Teri Gram, Gurugram, India",2023-12-11 04:00:00
202,"Teri Gram, Gurugram, India",2023-12-11 05:00:00
200,"Teri Gram, Gurugram, India",2023-12-11 07:00:00
199,"Teri Gram, Gurugram, India",2023-12-11 08:00:00
199,"Teri Gram, Gurugram, India",2023-12-11 09:00:00
212,"Teri Gram, Gurugram, India",2023-12-11 10:00:00
186,"Teri Gram, Gurugram, India",2023-12-11 23:00:00
183,"Teri Gram, Gurugram, India",2023-12-12 00:00:00
184,"Teri Gram, Gurugram, India",2023-12-12 01:00:00
188,"Teri Gram, Gurugram, India",2023-12-12 02:00:00
189,"Teri Gram, Gurugram, India",2023-12-12 03:00:00
194,"Teri Gram, Gurugram, India",2023-12-12 04:00:00
194,"Teri Gram, Gurugram, India",2023-12-12 05:00:00
190,"Teri Gram, Gurugram, India",2023-12-12 07:00:00
194,"Teri Gram, Gurugram, India",2023-12-12 08:00:00
226,"Teri Gram, Gurugram, India",2023-12-12 09:00:00
245,"Teri Gram, Gurugram, India",2023-12-12 10:00:00
232,"Teri Gram, Gurugram, India",2023-12-12 11:00:00
164,"Teri Gram, Gurugram, India",2023-12-12 12:00:00
144,"Teri Gram, Gurugram, India",2023-12-12 13:00:00
301,"Teri Gram, Gurugram, India",2023-12-14 06:00:00
354,"Teri Gram, Gurugram, India",2023-12-14 07:00:00
540,"Teri Gram, Gurugram, India",2023-12-14 09:00:00
411,"Teri Gram, Gurugram, India",2023-12-14 10:00:00
11,"Teri Gram, Gurugram, India",2023-12-14 12:00:00
162,"Teri Gram, Gurugram, India",2023-12-14 13:00:00
173,"Teri Gram, Gurugram, India",2023-12-14 14:00:00
172,"Teri Gram, Gurugram, India",2023-12-14 15:00:00
173,"Teri Gram, Gurugram, India",2023-12-14 16:00:00
175,"Teri Gram, Gurugram, India",2023-12-14 17:00:00
156,"Teri Gram, Gurugram, India",2023-12-14 18:00:00
171,"Teri Gram, Gurugram, India",2023-12-14 20:00:00
174,"Teri Gram, Gurugram, India",2023-12-14 22:00:00
177,"Teri Gram, Gurugram, India",2023-12-14 23:00:00
188,"Teri Gram, Gurugram, India",2023-12-15 00:00:00
196,"Teri Gram, Gurugram, India",2023-12-15 01:00:00
204,"Teri Gram, Gurugram, India",2023-12-15 03:00:00
204,"Teri Gram, Gurugram, India",2023-12-15 04:00:00
198,"Teri Gram, Gurugram, India",2023-12-15 05:00:00
209,"Teri Gram, Gurugram, India",2023-12-15 07:00:00
208,"Teri Gram, Gurugram, India",2023-12-15 08:00:00
214,"Teri Gram, Gurugram, India",2023-12-15 09:00:00
181,"Teri Gram, Gurugram, India",2023-12-15 21:00:00
188,"Teri Gram, Gurugram, India",2023-12-15 22:00:00
203,"Teri Gram, Gurugram, India",2023-12-15 23:00:00
231,"Teri Gram, Gurugram, India",2023-12-16 00:00:00
249,"Teri Gram, Gurugram, India",2023-12-16 01:00:00
259,"Teri Gram, Gurugram, India",2023-12-16 02:00:00
267,"Teri Gram, Gurugram, India",2023-12-16 03:00:00
263,"Teri Gram, Gurugram, India",2023-12-16 04:00:00
254,"Teri Gram, Gurugram, India",2023-12-16 05:00:00
248,"Teri Gram, Gurugram, India",2023-12-16 06:00:00
244,"Teri Gram, Gurugram, India",2023-12-16 07:00:00
243,"Teri Gram, Gurugram, India",2023-12-16 08:00:00
253,"Teri Gram, Gurugram, India",2023-12-16 09:00:00
337,"Teri Gram, Gurugram, India",2023-12-16 10:00:00
329,"Teri Gram, Gurugram, India",2023-12-16 11:00:00
71,"Teri Gram, Gurugram, India",2023-12-16 12:00:00
193,"Teri Gram, Gurugram, India",2023-12-16 13:00:00
187,"Teri Gram, Gurugram, India",2023-12-16 14:00:00
172,"Teri Gram, Gurugram, India",2023-12-16 15:00:00
159,"Teri Gram, Gurugram, India",2023-12-16 16:00:00
155,"Teri Gram, Gurugram, India",2023-12-16 17:00:00
153,"Teri Gram, Gurugram, India",2023-12-16 18:00:00
152,"Teri Gram, Gurugram, India",2023-12-16 19:00:00
155,"Teri Gram, Gurugram, India",2023-12-16 20:00:00
164,"Teri Gram, Gurugram, India",2023-12-16 21:00:00
177,"Teri Gram, Gurugram, India",2023-12-16 22:00:00
190,"Teri Gram, Gurugram, India",2023-12-16 23:00:00
193,"Teri Gram, Gurugram, India",2023-12-17 00:00:00
193,"Teri Gram, Gurugram, India",2023-12-17 01:00:00
195,"Teri Gram, Gurugram, India",2023-12-17 02:00:00
197,"Teri Gram, Gurugram, India",2023-12-17 03:00:00
200,"Teri Gram, Gurugram, India",2023-12-17 04:00:00
204,"Teri Gram, Gurugram, India",2023-12-17 05:00:00
217,"Teri Gram, Gurugram, India",2023-12-17 07:00:00
235,"Teri Gram, Gurugram, India",2023-12-17 08:00:00
233,"Teri Gram, Gurugram, India",2023-12-17 09:00:00
264,"Teri Gram, Gurugram, India",2023-12-17 10:00:00
278,"Teri Gram, Gurugram, India",2023-12-17 11:00:00
229,"Teri Gram, Gurugram, India",2023-12-17 12:00:00
189,"Teri Gram, Gurugram, India",2023-12-17 13:00:00
178,"Teri Gram, Gurugram, India",2023-12-17 14:00:00
176,"Teri Gram, Gurugram, India",2023-12-17 15:00:00
165,"Teri Gram, Gurugram, India",2023-12-17 16:00:00
162,"Teri Gram, Gurugram, India",2023-12-17 17:00:00
168,"Teri Gram, Gurugram, India",2023-12-17 18:00:00
173,"Teri Gram, Gurugram, India",2023-12-17 19:00:00
187,"Teri Gram, Gurugram, India",2023-12-17 20:00:00
203,"Teri Gram, Gurugram, India",2023-12-17 21:00:00
245,"Teri Gram, Gurugram, India",2023-12-17 22:00:00
274,"Teri Gram, Gurugram, India",2023-12-17 23:00:00
291,"Teri Gram, Gurugram, India",2023-12-18 00:00:00
294,"Teri Gram, Gurugram, India",2023-12-18 01:00:00
282,"Teri Gram, Gurugram, India",2023-12-18 02:00:00
999,"Teri Gram, Gurugram, India",2023-12-18 03:00:00
856,"Teri Gram, Gurugram, India",2023-12-18 04:00:00
519,"Teri Gram, Gurugram, India",2023-12-18 05:00:00
253,"Teri Gram, Gurugram, India",2023-12-18 07:00:00
235,"Teri Gram, Gurugram, India",2023-12-18 08:00:00
233,"Teri Gram, Gurugram, India",2023-12-18 09:00:00
250,"Teri Gram, Gurugram, India",2023-12-18 10:00:00
231,"Teri Gram, Gurugram, India",2023-12-18 11:00:00
281,"Teri Gram, Gurugram, India",2023-12-18 12:00:00
196,"Teri Gram, Gurugram, India",2023-12-19 00:00:00
193,"Teri Gram, Gurugram, India",2023-12-19 01:00:00
189,"Teri Gram, Gurugram, India",2023-12-19 02:00:00
185,"Teri Gram, Gurugram, India",2023-12-19 03:00:00
187,"Teri Gram, Gurugram, India",2023-12-19 04:00:00
185,"Teri Gram, Gurugram, India",2023-12-19 05:00:00
183,"Teri Gram, Gurugram, India",2023-12-19 07:00:00
182,"Teri Gram, Gurugram, India",2023-12-19 08:00:00
184,"Teri Gram, Gurugram, India",2023-12-19 09:00:00
184,"Teri Gram, Gurugram, India",2023-12-19 10:00:00
116,"Teri Gram, Gurugram, India",2023-12-19 11:00:00
156,"Teri Gram, Gurugram, India",2023-12-19 17:00:00
155,"Teri Gram, Gurugram, India",2023-12-19 18:00:00
155,"Teri Gram, Gurugram, India",2023-12-19 19:00:00
194,"Teri Gram, Gurugram, India",2023-12-19 22:00:00
224,"Teri Gram, Gurugram, India",2023-12-20 00:00:00
219,"Teri Gram, Gurugram, India",2023-12-20 01:00:00
210,"Teri Gram, Gurugram, India",2023-12-20 02:00:00
207,"Teri Gram, Gurugram, India",2023-12-20 03:00:00
198,"Teri Gram, Gurugram, India",2023-12-20 05:00:00
194,"Teri Gram, Gurugram, India",2023-12-20 06:00:00
188,"Teri Gram, Gurugram, India",2023-12-20 07:00:00
189,"Teri Gram, Gurugram, India",2023-12-20 08:00:00
195,"Teri Gram, Gurugram, India",2023-12-20 09:00:00
205,"Teri Gram, Gurugram, India",2023-12-20 10:00:00
160,"Teri Gram, Gurugram, India",2023-12-20 12:00:00
328,"Teri Gram, Gurugram, India",2023-12-21 09:00:00
999,"Teri Gram, Gurugram, India",2023-12-21 10:00:00
188,"Teri Gram, Gurugram, India",2023-12-21 12:00:00
219,"Teri Gram, Gurugram, India",2023-12-21 13:00:00
191,"Teri Gram, Gurugram, India",2023-12-21 15:00:00
184,"Teri Gram, Gurugram, India",2023-12-21 17:00:00
183,"Teri Gram, Gurugram, India",2023-12-21 18:00:00
