From Date;To Date;Station;PM2.5;PM10;NO;NO2;NOx;CO;Ozone;CO2;RF
31-12-2017 00:00;01-01-2018 00:00;NISE;259.19;439.84;97.27;24.28;111.28;3.74;17.81;0;0
01-01-2018 00:00;02-01-2018 00:00;NISE;379.53;17.16;48.84;22.71;71.55;4.21;21.69;0;0
02-01-2018 00:00;03-01-2018 00:00;NISE;356.17;0;45.98;20.47;66.45;4.2;17.48;0;0
03-01-2018 00:00;04-01-2018 00:00;NISE;264.92;457.12;48.88;19.25;68.13;3.6;15.03;0;0
04-01-2018 00:00;05-01-2018 00:00;NISE;198.83;355.09;54.9;21.95;76.85;3.55;19.39;0;0
05-01-2018 00:00;06-01-2018 00:00;NISE;303.11;397.83;41.8;21.53;63.33;4;18.55;0;0
06-01-2018 00:00;07-01-2018 00:00;NISE;358.91;408.69;64.97;24.15;89.12;4.34;18.04;0;0
07-01-2018 00:00;08-01-2018 00:00;NISE;234.35;443.18;60.34;22.96;79.27;4.43;19.77;0;0
08-01-2018 00:00;09-01-2018 00:00;NISE;183.86;338.35;50.06;23.29;73.35;4.24;22.5;0;0
09-01-2018 00:00;10-01-2018 00:00;NISE;269.98;438.48;44.24;23.08;67.32;4.36;21.99;0;0
10-01-2018 00:00;11-01-2018 00:00;NISE;166.69;250.32;23.02;30.87;53.89;4.27;31.2;0;0
11-01-2018 00:00;12-01-2018 00:00;NISE;137.73;228.03;18.69;29.41;48.1;4.21;29.98;0;0
12-01-2018 00:00;13-01-2018 00:00;NISE;152.27;312.67;59.96;20.03;62.77;4.17;15.68;0;0
13-01-2018 00:00;14-01-2018 00:00;NISE;229.48;382.52;54.04;21.09;75.13;4.38;18.32;0;0
14-01-2018 00:00;15-01-2018 00:00;NISE;187.48;311.15;41.96;23.82;65.78;4.43;22.39;0;0
15-01-2018 00:00;16-01-2018 00:00;NISE;234.11;311.96;53.14;25.96;73.38;3.12;24.49;0;0
16-01-2018 00:00;17-01-2018 00:00;NISE;105.12;223.4;22.93;30.43;53.36;1.76;31.86;0;0
17-01-2018 00:00;18-01-2018 00:00;NISE;294.7;399.44;96.1;24.3;86.83;1.97;20.35;0;0
18-01-2018 00:00;19-01-2018 00:00;NISE;290.67;323.83;91.97;22.91;89.98;2.17;19.97;0;0
19-01-2018 00:00;20-01-2018 00:00;NISE;314.13;671.78;57.71;26.89;78.91;2.34;23.31;0;0
20-01-2018 00:00;21-01-2018 00:00;NISE;122.19;0;37.94;32.68;70.62;2.26;28.25;0;0
21-01-2018 00:00;22-01-2018 00:00;NISE;133.82;0;52.88;22.93;75.81;2.26;21.33;0;0
22-01-2018 00:00;23-01-2018 00:00;NISE;205.42;0;44.68;26.25;70.93;2.12;28.01;0;0
23-01-2018 00:00;24-01-2018 00:00;NISE;262.59;0;98.3;19.26;93.94;2.18;15.28;0;0
24-01-2018 00:00;25-01-2018 00:00;NISE;247.83;0;107.32;15.33;102.58;2.24;9.4;0;0
25-01-2018 00:00;26-01-2018 00:00;NISE;165.08;0;53.21;16.75;69.97;2.28;11.12;0;0
26-01-2018 00:00;27-01-2018 00:00;NISE;202.02;0;64.33;17.84;82.17;2.34;13.38;0;0
27-01-2018 00:00;28-01-2018 00:00;NISE;222.59;0;50.36;21.08;71.45;2.38;18.82;0;0
28-01-2018 00:00;29-01-2018 00:00;NISE;208.2;0;59.76;18.82;78.58;2.45;14.89;0;0
29-01-2018 00:00;30-01-2018 00:00;NISE;221.91;274.5;59.11;19.7;78.81;2.53;16.14;0;0
30-01-2018 00:00;31-01-2018 00:00;NISE;153.09;255.1;26.51;24.91;51.42;2.5;23.43;0;0
31-01-2018 00:00;01-02-2018 00:00;NISE;173.35;288.53;30.95;24.09;55.04;2.41;21.69;0;0
01-02-2018 00:00;02-02-2018 00:00;NISE;156.07;259.64;69.96;19.02;75.93;2.37;14.58;0;0
02-02-2018 00:00;03-02-2018 00:00;NISE;206.26;338.54;58.67;20.16;78.83;2.43;16.8;0;0
03-02-2018 00:00;04-02-2018 00:00;NISE;149.99;249.62;47.82;23.08;70.89;2.45;21.13;0;0
04-02-2018 00:00;05-02-2018 00:00;NISE;169.84;282.87;38.69;24.69;63.38;2.36;23.05;0;0
05-02-2018 00:00;06-02-2018 00:00;NISE;170.72;284.53;111.47;11.19;122.66;2.34;3.79;0;0
06-02-2018 00:00;07-02-2018 00:00;NISE;172.57;287.48;111.89;11.28;123.17;2.39;3.68;0;0
