From Date;To Date;Station;PM2.5;PM10;NO;NO2;NOx;CO;Ozone;RF;TOT-RF;CO;Ozone;RF;TOT-RF
04-03-2020 00:00;05-03-2020 00:00;teri_gram;0;0;0;0;0;0;0;0;0;0;0;0;0
05-03-2020 00:00;06-03-2020 00:00;teri_gram;40.39;59.11;3.64;21.92;14.36;0.49;51.88;0;0;0.49;51.88;0;0
06-03-2020 00:00;07-03-2020 00:00;teri_gram;21.26;29.9;7.73;22.6;18;0.47;36.56;0;0;0.47;36.56;0;0
07-03-2020 00:00;08-03-2020 00:00;teri_gram;53.8;76.4;19.74;20.34;26.46;0.67;24.48;0;0;0.67;24.48;0;0
08-03-2020 00:00;09-03-2020 00:00;teri_gram;68.15;91.94;40.56;18.15;42.01;0.9;36.8;0;0;0.9;36.8;0;0
09-03-2020 00:00;10-03-2020 00:00;teri_gram;80.69;111.34;11.71;20.37;19.73;0.65;28.35;0;0;0.65;28.35;0;0
10-03-2020 00:00;11-03-2020 00:00;teri_gram;98.6;120.01;10.2;18.74;16.73;0.8;48.19;0;0;0.8;48.19;0;0
11-03-2020 00:00;12-03-2020 00:00;teri_gram;67.34;12.28;2.1;18.54;11.37;0.63;54.35;0;0;0.63;54.35;0;0
12-03-2020 00:00;13-03-2020 00:00;teri_gram;45.52;100.28;6.41;18.54;14.87;0.57;29.57;0;0;0.57;29.57;0;0
13-03-2020 00:00;14-03-2020 00:00;teri_gram;69.07;157.69;29.51;20.22;25.64;0.55;32.53;0.01;0.6;0.55;32.53;0.01;0.6
14-03-2020 00:00;15-03-2020 00:00;teri_gram;46.69;80.53;0.4;6.45;0.91;0.55;26.73;0;0;0.55;26.73;0;0
15-03-2020 00:00;16-03-2020 00:00;teri_gram;67.28;119.31;10.35;7.89;12.42;0.81;46.09;0;0;0.81;46.09;0;0
16-03-2020 00:00;17-03-2020 00:00;teri_gram;74.08;154.15;13.36;7.87;14.89;0.79;32.92;0;0;0.79;32.92;0;0
17-03-2020 00:00;18-03-2020 00:00;teri_gram;75.09;145.56;9.72;7.04;11.47;0.95;40.17;0;0;0.95;40.17;0;0
18-03-2020 00:00;19-03-2020 00:00;teri_gram;82.27;173.05;18.7;7.53;18.93;0.98;34.12;0;0;0.98;34.12;0;0
19-03-2020 00:00;20-03-2020 00:00;teri_gram;86.43;176.83;19;6.94;18.86;1.07;47.43;0;0;1.07;47.43;0;0
20-03-2020 00:00;21-03-2020 00:00;teri_gram;94.87;165.91;10.66;5.68;11.52;1;56.48;0;0;1;56.48;0;0
21-03-2020 00:00;22-03-2020 00:00;teri_gram;60.83;114.25;6.37;5.36;7.91;0.82;51.04;0;0;0.82;51.04;0;0
22-03-2020 00:00;23-03-2020 00:00;teri_gram;92.39;138.3;17.31;5.89;16.97;1.08;52.83;0;0;1.08;52.83;0;0
23-03-2020 00:00;24-03-2020 00:00;teri_gram;54.18;89.83;3.5;4.73;5.28;0.78;41.63;0;0;0.78;41.63;0;0
24-03-2020 00:00;25-03-2020 00:00;teri_gram;71.31;99.14;1.58;4.32;3.52;0.83;37.65;0;0;0.83;37.65;0;0
25-03-2020 00:00;26-03-2020 00:00;teri_gram;35.76;52.99;3.57;3.89;3.97;0.65;41.42;0;0;0.65;41.42;0;0
26-03-2020 00:00;27-03-2020 00:00;teri_gram;35.9;63.7;0;0;0;0.52;34.85;0;0;0.52;34.85;0;0
27-03-2020 00:00;28-03-2020 00:00;teri_gram;22.43;44.4;0;0;0;0.47;39.06;0;0;0.47;39.06;0;0
28-03-2020 00:00;29-03-2020 00:00;teri_gram;21.04;29.99;0;0;0;0.43;40.25;0;0;0.43;40.25;0;0
29-03-2020 00:00;30-03-2020 00:00;teri_gram;26.26;52.15;0;0;0;0.48;53.96;0;0;0.48;53.96;0;0
30-03-2020 00:00;31-03-2020 00:00;teri_gram;35.62;55.77;0;0;0;0.56;49.48;0;0;0.56;49.48;0;0
31-03-2020 00:00;01-04-2020 00:00;teri_gram;32.64;50.27;0;0;0;0.53;59.69;0;0;0.53;59.69;0;0
01-04-2020 00:00;02-04-2020 00:00;teri_gram;31.18;53.18;0;0;0;0.54;50.74;0;0;0.54;50.74;0;0
02-04-2020 00:00;03-04-2020 00:00;teri_gram;25.91;46.78;0;0;0;0.53;62.75;0;0;0.53;62.75;0;0
03-04-2020 00:00;04-04-2020 00:00;teri_gram;29.55;48.87;0;0;0;0.56;67.39;0;0;0.56;67.39;0;0
04-04-2020 00:00;05-04-2020 00:00;teri_gram;33.67;55.06;0;0;0;0.57;54.45;0;0;0.57;54.45;0;0
05-04-2020 00:00;06-04-2020 00:00;teri_gram;47.94;69.26;0;0;0;0.7;56.74;0;0;0.7;56.74;0;0
06-04-2020 00:00;07-04-2020 00:00;teri_gram;57.09;84.4;0;0;0;0.72;51.52;0;0;0.72;51.52;0;0
07-04-2020 00:00;08-04-2020 00:00;teri_gram;29.44;74.1;0;0;0;0.54;63.74;0;0;0.54;63.74;0;0
08-04-2020 00:00;09-04-2020 00:00;teri_gram;28.92;73.89;0;0;0;0.49;67;0;0;0.49;67;0;0
09-04-2020 00:00;10-04-2020 00:00;teri_gram;33.39;62.24;0;0;0;0.55;63.89;0;0;0.55;63.89;0;0
10-04-2020 00:00;11-04-2020 00:00;teri_gram;38.97;70.58;0;0;0;0.62;53.44;0;0;0.62;53.44;0;0
11-04-2020 00:00;12-04-2020 00:00;teri_gram;53.55;86.7;0;0;0;0.76;65.25;0;0;0.76;65.25;0;0
12-04-2020 00:00;13-04-2020 00:00;teri_gram;32.21;69.34;0;0;0;0.55;65.83;0;0;0.55;65.83;0;0
13-04-2020 00:00;14-04-2020 00:00;teri_gram;49.4;103.89;0;0;0;0.67;53.15;0;0;0.67;53.15;0;0
14-04-2020 00:00;15-04-2020 00:00;teri_gram;47.53;102.35;0;1.15;0.01;0.62;46.76;0;0;0.62;46.76;0;0
15-04-2020 00:00;16-04-2020 00:00;teri_gram;60.15;152.23;0;0;0;0.66;46.7;0;0;0.66;46.7;0;0
16-04-2020 00:00;17-04-2020 00:00;teri_gram;61.17;127.49;0;0;0;0.69;54.73;0;0;0.69;54.73;0;0
17-04-2020 00:00;18-04-2020 00:00;teri_gram;30.17;70.25;0;0;0;0.53;79.28;0;0;0.53;79.28;0;0
18-04-2020 00:00;19-04-2020 00:00;teri_gram;31.18;79.77;0;0;0;0.48;74.24;0;0;0.48;74.24;0;0
19-04-2020 00:00;20-04-2020 00:00;teri_gram;31.26;57.67;0;0;0;0.56;65.65;0;0;0.56;65.65;0;0
20-04-2020 00:00;21-04-2020 00:00;teri_gram;46.96;74.91;0;0;0;0.68;39.82;0;0;0.68;39.82;0;0
21-04-2020 00:00;22-04-2020 00:00;teri_gram;37.03;61.4;0;0;0;0.58;63.78;0;0;0.58;63.78;0;0
22-04-2020 00:00;23-04-2020 00:00;teri_gram;46.99;87.78;0;0;0;0.63;63.06;0;0;0.63;63.06;0;0
23-04-2020 00:00;24-04-2020 00:00;teri_gram;53.93;92.47;2.55;2.49;0.8;0.63;50.03;0;0;0.63;50.03;0;0
24-04-2020 00:00;25-04-2020 00:00;teri_gram;60.19;92.98;3.71;3;2.98;0.65;67.69;0;0;0.65;67.69;0;0
25-04-2020 00:00;26-04-2020 00:00;teri_gram;30.29;50.42;3.77;3;3.02;0.51;77.51;0;0;0.51;77.51;0;0
26-04-2020 00:00;27-04-2020 00:00;teri_gram;51.24;87.28;3.81;3;3.05;0.6;51.43;0;0;0.6;51.43;0;0
27-04-2020 00:00;28-04-2020 00:00;teri_gram;30.67;46.09;3.8;3.01;3.05;0.47;64.95;0;0;0.47;64.95;0;0
28-04-2020 00:00;29-04-2020 00:00;teri_gram;39;49.7;3.7;3;2.97;0.49;66.03;0;0;0.49;66.03;0;0
29-04-2020 00:00;30-04-2020 00:00;teri_gram;62.28;90.07;3.72;3;2.98;0.56;56.69;0;0;0.56;56.69;0;0
30-04-2020 00:00;01-05-2020 00:00;teri_gram;72.04;111.81;3.73;3;2.99;0.66;53.2;0;0;0.66;53.2;0;0
01-05-2020 00:00;02-05-2020 00:00;teri_gram;73.49;119.23;3.62;3;2.91;0.61;69.06;0;0;0.61;69.06;0;0
02-05-2020 00:00;03-05-2020 00:00;teri_gram;45.75;95.32;3.82;3;3.06;0.46;92.41;0;0;0.46;92.41;0;0
03-05-2020 00:00;04-05-2020 00:00;teri_gram;47.94;71.88;3.62;2.99;2.9;0.47;70.2;0;0;0.47;70.2;0;0
04-05-2020 00:00;05-05-2020 00:00;teri_gram;27.16;40.63;3.74;3;3;0.46;51.92;0;0;0.46;51.92;0;0
05-05-2020 00:00;06-05-2020 00:00;teri_gram;61.42;86.53;3.74;3;3;0.65;55.29;0;0;0.65;55.29;0;0
06-05-2020 00:00;07-05-2020 00:00;teri_gram;56.89;125.43;3.68;3;2.95;0.61;60.94;0;0;0.61;60.94;0;0
07-05-2020 00:00;08-05-2020 00:00;teri_gram;46.32;73.69;3.75;3.01;3.01;0.54;78.24;0;0;0.54;78.24;0;0
08-05-2020 00:00;09-05-2020 00:00;teri_gram;59.1;91.93;3.89;3;3.12;0.66;74;0;0;0.66;74;0;0
09-05-2020 00:00;10-05-2020 00:00;teri_gram;72.6;109.17;3.84;3.01;3.08;0.8;88.76;0;0;0.8;88.76;0;0
10-05-2020 00:00;11-05-2020 00:00;teri_gram;59.22;106.9;3.79;3;3.04;0.62;79.39;0;0;0.62;79.39;0;0
11-05-2020 00:00;12-05-2020 00:00;teri_gram;47.49;80.96;3.6;3;2.88;0.58;69.43;0;0;0.58;69.43;0;0
12-05-2020 00:00;13-05-2020 00:00;teri_gram;53.64;79.55;3.81;3;3.05;0.63;74.15;0;0;0.63;74.15;0;0
13-05-2020 00:00;14-05-2020 00:00;teri_gram;71.04;132.71;3.61;3;2.9;0.75;60.33;0;0;0.75;60.33;0;0
