From Date;To Date;Station;PM2.5;PM10;NO;NO2;NOx;CO;Ozone;RF;TOT-RF
04-03-2020 00:00;05-03-2020 00:00;sect_51;0;0;0;0;0;0;0;0;0
05-03-2020 00:00;06-03-2020 00:00;sect_51;36.51;73.15;5.91;24.28;30.19;0.51;71.07;0;0
06-03-2020 00:00;07-03-2020 00:00;sect_51;22.23;39.15;5.89;23.24;29.12;0.45;55.32;0;0
07-03-2020 00:00;08-03-2020 00:00;sect_51;41.44;77.68;8.54;21.67;30.2;0.63;46.15;0;0
08-03-2020 00:00;09-03-2020 00:00;sect_51;62.64;130.39;18.77;24.16;42.94;0.86;41.67;0;0
09-03-2020 00:00;10-03-2020 00:00;sect_51;83.74;127.54;4.88;22.1;26.98;0.68;49.61;0;0
10-03-2020 00:00;11-03-2020 00:00;sect_51;97.3;159.07;5.34;23.2;28.54;0.8;62.53;0;0
11-03-2020 00:00;12-03-2020 00:00;sect_51;58.71;109.16;3.36;21.98;25.34;0.62;73.29;0;0
12-03-2020 00:00;13-03-2020 00:00;sect_51;60.33;159.87;8.17;23.6;18.77;0.48;48.9;0;0
13-03-2020 00:00;14-03-2020 00:00;sect_51;67.33;195.83;6.78;23.4;30.11;0.59;50.66;0;0
14-03-2020 00:00;15-03-2020 00:00;sect_51;44.05;134.24;4.95;21.1;22.61;0.58;45.55;0;0
15-03-2020 00:00;16-03-2020 00:00;sect_51;59.56;171.06;7.49;23.9;18.16;0.9;63.18;0;0
16-03-2020 00:00;17-03-2020 00:00;sect_51;105.36;171.49;4.35;24.73;16.24;0.74;58.09;0;0
17-03-2020 00:00;18-03-2020 00:00;sect_51;103.51;220.98;10.36;26.68;22.25;1.01;60.26;0;0
18-03-2020 00:00;19-03-2020 00:00;sect_51;120.69;247.75;27.8;28.46;37.16;1.29;57.37;0;0
19-03-2020 00:00;20-03-2020 00:00;sect_51;81.08;249.37;26.88;30.28;37.37;1.28;75.19;0;0
20-03-2020 00:00;21-03-2020 00:00;sect_51;97.02;242.08;7.16;30.06;21.32;1;75.99;0;0
21-03-2020 00:00;22-03-2020 00:00;sect_51;62.74;148.6;8.53;27.23;19.37;0.83;68.6;0;0
22-03-2020 00:00;23-03-2020 00:00;sect_51;97.39;166.64;10.8;28.31;21.94;1.13;73.25;0;0
23-03-2020 00:00;24-03-2020 00:00;sect_51;53.12;131.5;7.7;23.19;18.29;0.76;60.94;0;0
24-03-2020 00:00;25-03-2020 00:00;sect_51;63.51;129.42;7.15;22.59;16.48;0.93;55.04;0;0
25-03-2020 00:00;26-03-2020 00:00;sect_51;33.4;69.49;8.49;19.43;16.51;0.69;56.24;0;0
26-03-2020 00:00;27-03-2020 00:00;sect_51;30.82;70.77;3.73;16.9;11.82;0.49;45.56;0;0
27-03-2020 00:00;28-03-2020 00:00;sect_51;20.66;43.15;2.25;15.84;9.51;0.43;46.45;0;0
28-03-2020 00:00;29-03-2020 00:00;sect_51;18.13;53.76;3.88;15.05;10.98;0.5;54.3;0;0
29-03-2020 00:00;30-03-2020 00:00;sect_51;23.75;70.72;2.26;13.78;8.82;0.51;65.98;0;0
30-03-2020 00:00;31-03-2020 00:00;sect_51;28.83;62.23;1.16;13.42;7.13;0.49;73.03;0;0
31-03-2020 00:00;01-04-2020 00:00;sect_51;32.84;63.8;2.05;13.51;8.71;0.52;76.96;0;0
01-04-2020 00:00;02-04-2020 00:00;sect_51;25.37;53.06;2.12;14.19;8.19;0.5;67.06;0;0
02-04-2020 00:00;03-04-2020 00:00;sect_51;31.6;78.37;1.36;13.36;7.26;0.54;71.85;0;0
03-04-2020 00:00;04-04-2020 00:00;sect_51;28.89;55.24;2.41;12.11;8.26;0.51;88.42;0;0
04-04-2020 00:00;05-04-2020 00:00;sect_51;39.71;70.47;2.19;14.01;7.91;0.63;73.49;0;0
05-04-2020 00:00;06-04-2020 00:00;sect_51;56.87;102.14;4.88;16.49;11.27;0.88;75.14;0;0
06-04-2020 00:00;07-04-2020 00:00;sect_51;50.19;94.73;2.64;15.4;10.05;0.71;75.27;0;0
07-04-2020 00:00;08-04-2020 00:00;sect_51;35.06;99.63;0.81;13.34;6.74;0.51;78.7;0;0
08-04-2020 00:00;09-04-2020 00:00;sect_51;31.37;85.42;1.79;12.31;7.34;0.47;78.06;0;0
09-04-2020 00:00;10-04-2020 00:00;sect_51;36.14;76.97;2.43;12.88;8.68;0.55;85.15;0;0
10-04-2020 00:00;11-04-2020 00:00;sect_51;67.88;126.52;3.56;16.97;10.72;0.95;64.31;0;0
11-04-2020 00:00;12-04-2020 00:00;sect_51;51.14;109.92;5.93;17.01;13.33;0.87;83.4;0;0
12-04-2020 00:00;13-04-2020 00:00;sect_51;35.04;70.88;2.05;13.39;8.47;0.56;86.76;0;0
13-04-2020 00:00;14-04-2020 00:00;sect_51;62.67;135.43;2.11;15.81;9.12;0.79;70.58;0;0
14-04-2020 00:00;15-04-2020 00:00;sect_51;68.79;178.23;4.62;17.69;12.75;0.95;63.52;0;0
