From Date;To Date;Station;PM2.5;NO;NO2;NOx;CO;Ozone;RF;RF;RF;RF;TOT-RF;
09-05-2018 00:00;10-05-2018 00:00;vikas_sadan;96.01;8.86;21.12;16.01;0;2.22;0;0;0;0;0.4;
10-05-2018 00:00;11-05-2018 00:00;vikas_sadan;105.45;9.07;21.97;16.64;0;0;0;0;0;0;0;
11-05-2018 00:00;12-05-2018 00:00;vikas_sadan;157.47;8.47;22.24;16.29;0;0;0;0;0;0;0;
12-05-2018 00:00;13-05-2018 00:00;vikas_sadan;188.69;8.59;23.14;16.84;0;2.26;0;0;0;0;0;
13-05-2018 00:00;14-05-2018 00:00;vikas_sadan;149.84;8.14;23.91;16.88;0;0;0.08;0.08;0.08;0.08;8;
14-05-2018 00:00;15-05-2018 00:00;vikas_sadan;73.59;8.56;25.74;18.21;0;0;0;0;0;0;0;
15-05-2018 00:00;16-05-2018 00:00;vikas_sadan;96.94;8.4;25.97;18.2;0;0;0;0;0;0;0;
16-05-2018 00:00;17-05-2018 00:00;vikas_sadan;173.75;8.9;26.28;18.76;0;0;0;0;0;0;0;
17-05-2018 00:00;18-05-2018 00:00;vikas_sadan;181.5;12.3;30.56;22.33;0;0;0;0;0;0;0;
18-05-2018 00:00;19-05-2018 00:00;vikas_sadan;115.84;14.07;30.43;22.96;0;0;0;0;0;0;0;
19-05-2018 00:00;20-05-2018 00:00;vikas_sadan;145.89;11.61;30.15;20.98;0;0;0;0;0;0;0;
20-05-2018 00:00;21-05-2018 00:00;vikas_sadan;106.58;11.65;30.04;21.05;0;0;0;0;0;0;0;
21-05-2018 00:00;22-05-2018 00:00;vikas_sadan;110.83;8.78;27.38;19.2;0;0;0;0;0;0;0;
22-05-2018 00:00;23-05-2018 00:00;vikas_sadan;128.42;8.85;27.26;19.19;0;0;0;0;0;0;0;
23-05-2018 00:00;24-05-2018 00:00;vikas_sadan;168.8;8.61;27.36;19.1;0;26.95;0;0;0;0;0;
24-05-2018 00:00;25-05-2018 00:00;vikas_sadan;131.44;8.82;27.36;19.26;0.08;0;0;0;0;0;0;
25-05-2018 00:00;26-05-2018 00:00;vikas_sadan;137.93;8.61;27.34;19.09;0.11;0;0;0;0;0;0;
26-05-2018 00:00;27-05-2018 00:00;vikas_sadan;132.63;8.45;27.48;19.02;0.13;0;0;0;0;0;0;
27-05-2018 00:00;28-05-2018 00:00;vikas_sadan;181.45;8.45;27.48;19.08;0.04;0;0;0;0;0;0;
28-05-2018 00:00;29-05-2018 00:00;vikas_sadan;149.72;8.54;27.48;19.1;0.12;46.48;0;0;0;0;0;
29-05-2018 00:00;30-05-2018 00:00;vikas_sadan;152.88;8.78;27.41;19.26;0.11;48.54;0;0;0;0;0;
30-05-2018 00:00;31-05-2018 00:00;vikas_sadan;133.96;8.63;27.68;19.27;0.09;44.97;0;0;0;0;0;
31-05-2018 00:00;01-06-2018 00:00;vikas_sadan;106.92;8.51;27.8;19.24;0.08;33.85;0;0;0;0;0;
01-06-2018 00:00;02-06-2018 00:00;vikas_sadan;146.8;8.72;27.69;19.36;0.11;53.29;0;0;0;0;0;
02-06-2018 00:00;03-06-2018 00:00;vikas_sadan;87.04;8.51;27.86;19.27;0.09;64.35;0;0;0;0;0;
03-06-2018 00:00;04-06-2018 00:00;vikas_sadan;64.47;8.54;27.93;19.33;0.1;60.21;0;0;0;0;0;
04-06-2018 00:00;05-06-2018 00:00;vikas_sadan;89.28;8.23;26.13;18.87;0.07;56.89;0;0;0;0;0;
05-06-2018 00:00;06-06-2018 00:00;vikas_sadan;67.95;6.91;22.34;17.47;0.09;51.77;0;0;0;0;0;
