StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
"NISE Gwal Pahari, Gurugram - IMD",12/31/17,229.87,395.4,95.94,27.91,110.87,,3.74,,20.81,,,,376,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/1/18,370.07,17.16,50.16,22.81,72.97,,4.18,,21.95,,,,435,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/2/18,360.72,,45.23,20.52,65.75,,4.22,,17.54,,,,495,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/3/18,270.12,444.17,48.85,19.25,68.1,,3.61,,15.03,,,,445,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/4/18,193.96,339.33,55.36,21.93,77.29,,3.54,,19.36,,,,382,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/5/18,297.87,380.12,41.28,21.56,62.84,,3.97,,18.58,,,,392,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/6/18,398.39,434.45,63.61,28.77,92.39,,4.28,,18.89,,,,497,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/7/18,217.21,408.64,59.09,23.8,79,,4.43,,20.71,,,,467,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/8/18,184.44,342.33,50.34,23.27,73.61,,4.25,,22.47,,,,343,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/9/18,267.2,436.51,46.56,22.69,69.24,,4.35,,21.46,,,,383,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/10/18,174.39,254.48,23.63,32.17,55.8,,4.25,,32.27,,,,391,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/11/18,131.18,226.75,18.23,29.89,48.12,,4.21,,30.95,,,,307,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/12/18,149.72,297.21,53.3,21.42,59.28,,4.17,,17.78,,,,318,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/13/18,217.76,356.04,53.71,21.24,74.95,,4.38,,18.55,,,,357,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/14/18,188.58,315.22,42.14,23.79,65.93,,4.43,,22.35,,,,374,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/15/18,232.08,291.64,54.18,25.82,74.57,,3.22,,24.68,,,,364,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/16/18,103.32,200.5,20.14,31.05,51.19,,1.76,,32.76,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/17/18,281.42,342.67,56.81,25.27,82.62,,1.96,,20.24,,,,349,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/18/18,293.97,312.18,72.71,23.02,95.32,,2.17,,19.88,,,,451,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/19/18,350.43,666.72,58.92,29.63,84.21,,2.34,,21.78,,,,448,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/20/18,127.1,,29.84,45.7,75.54,,2.26,,28.33,,,,447,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/21/18,128.3,,51.58,24.1,75.67,,2.26,,22.86,,,,312,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/22/18,195.52,,46.13,26.08,72.21,,2.12,,27.79,,,,322,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/23/18,263.41,,88.98,19.56,91.22,,2.17,,15.67,,,,392,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/24/18,249.24,,95.03,15.28,105.85,,2.24,,9.34,,,,405,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/25/18,168.01,,53.11,16.76,69.87,,2.28,,11.12,,,,367,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/26/18,196.25,,64.23,17.85,82.07,,2.34,,13.39,,,,338,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/27/18,218.64,,50.41,21.08,71.48,,2.38,,18.82,,,,376,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/28/18,205.41,,59.86,18.81,78.68,,2.45,,14.88,,,,382,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/29/18,221.82,253.13,60.52,19.59,80.11,,2.53,,16,,,,375,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/30/18,154.39,257.28,27.97,24.55,52.52,,2.5,,22.92,,,,344,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/31/18,171.89,286.09,28.33,24.56,52.89,,2.41,,22.33,,,,334,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/1/18,152.66,253.95,56.78,19.03,75.81,,2.37,,14.6,,,,325,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/2/18,211.72,351.43,71.44,20.16,78.66,,2.43,,16.8,,,,363,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/3/18,148.57,247.25,49.81,22.92,72.73,,2.45,,20.93,,,,336,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/4/18,166.27,276.56,35.55,26.22,61.77,,2.37,,23.33,,,,333,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/5/18,172.56,287.61,111.33,11.2,122.53,,2.34,,3.8,,,,337,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/6/18,173.99,289.85,111.87,11.28,123.15,,2.39,,3.68,,,,346,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/7/18,147.86,245.86,110.99,12.15,123.14,,2.28,,3.66,,,,324,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/8/18,179.65,298.95,112.54,11.68,124.23,,2.5,,3.85,,,,342,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/9/18,246.01,401.91,113.05,11.23,124.28,,2.62,,3.64,,,,377,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/10/18,164.11,273.52,109.38,14.29,123.67,,2.63,,3.53,,,,358,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/11/18,148.42,247.37,113.1,11.11,124.21,,2.58,,3.65,,,,326,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/12/18,104.34,157.27,79,24.3,103.3,,2.33,,21.47,,,,273,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/13/18,150.02,151.24,10.71,47.44,58.15,,2.4,,78.94,,,,281,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/14/18,114.11,123.5,12.4,41.18,53.58,,2.46,,58.84,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/15/18,3.42,28.85,7.27,60.78,68.05,,2.5,,96.25,,,,266,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/16/18,145.17,172.96,12.58,47.41,59.99,,2.28,,80.2,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/17/18,149.51,180.86,12.6,48.66,61.25,,2.31,,84.97,,,,324,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/18/18,187.13,180.58,19.53,45.69,65.22,,2.38,,82.77,,,,348,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/19/18,206.73,236.1,29.5,27.81,57.31,,2.47,,35.7,,,,331,Very Poor
