,train_end,test_end,p,d,q,P,D,Q,s,MSE,MAE,MAPE,Rolling?,AIC,BIC
0,2023-11-20,2023-12-02,1,0,1,1,0,1,7,490,16,0.04469643769983462,True,15356,15382
0,2023-11-20,2023-12-02,1,0,1,1,0,1,30,408,17,0.04842310032171275,True,15381,15407
0,2023-11-20,2023-12-02,3,0,1,3,0,1,7,4509,54,0.1705704761023593,False,15152,15199
0,2023-11-25,2023-12-02,1,0,0,1,1,0,7,10750,81,0.2914164328306837,False,15561,15577
0,2023-11-25,2023-12-02,1,0,1,1,1,0,7,10704,81,0.2902744386134398,False,15563,15584
0,2023-11-25,2023-12-02,1,0,1,1,1,1,7,2049,36,0.13150881613006762,False,15211,15237
0,2023-11-25,2023-12-02,1,0,1,1,0,1,7,2112,36,0.13140362223188568,False,15290,15316
0,2023-11-25,2023-12-02,3,0,1,3,0,1,7,4217,51,0.19149106777913422,False,15208,15255
0,2023-11-25,2023-12-02,1,0,1,1,0,1,30,2221,35,0.13196629022955322,False,15315,15341
0,2023-11-25,2023-12-02,1,0,1,1,0,1,120,2952,40,0.15246767087900745,False,15318,15344
0,2023-11-25,2023-12-02,1,0,1,1,1,1,120,3003,46,0.15922485272157177,False,14202,14228
0,2023-11-25,2023-12-02,1,0,1,1,1,1,30,2580,41,0.14244426580488065,False,15039,15065
