From Date,PM2.5,PM2.5_SubIndex,PM10,PM10_SubIndex,NO,NO2,NOx,NOx_SubIndex,CO,CO_SubIndex,Ozone,Ozone_SubIndex,SO2,SO2_SubIndex,Checks,AQI
2020-03-05,36.51,60.849999999999994,73.15,73.15,5.91,24.28,30.19,37.7375,0.51,25.5,71.07,71.07,19.81,24.762499999999996,6,73.0
2020-03-06,22.23,37.05,39.15,39.15,5.89,23.24,29.12,36.4,0.45,22.5,55.32,55.32,19.44,24.300000000000004,6,55.0
2020-03-07,41.44,69.06666666666666,77.68,77.68,8.54,21.67,30.2,37.75,0.63,31.5,46.15,46.15,23.83,29.7875,6,78.0
2020-03-08,62.64,108.8,130.39,120.25999999999999,18.77,24.16,42.94,53.675,0.86,43.0,41.67,41.67,23.14,28.925,6,120.0
2020-03-09,83.74,179.13333333333333,127.54,118.36,4.88,22.1,26.98,33.725,0.68,34.0,49.61,49.61,20.47,25.5875,6,179.0
2020-03-10,97.3,224.33333333333331,159.07,139.38,5.34,23.2,28.54,35.675,0.8,40.0,62.53,62.53,22.03,27.5375,6,224.0
2020-03-11,58.71,97.85,109.16,106.10666666666667,3.36,21.98,25.34,31.675,0.62,31.0,73.29,73.29,18.88,23.6,6,106.0
2020-03-12,60.33,101.1,159.87,139.91333333333333,8.17,23.6,18.77,23.4625,0.48,24.0,48.9,48.9,15.52,19.4,6,140.0
2020-03-13,67.33,124.43333333333332,195.83,163.88666666666668,6.78,23.4,30.11,37.6375,0.59,29.5,50.66,50.66,16.2,20.25,6,164.0
2020-03-14,44.05,73.41666666666666,134.24,122.82666666666667,4.95,21.1,22.61,28.2625,0.58,28.999999999999996,45.55,45.55,18.07,22.5875,6,123.0
2020-03-15,59.56,99.26666666666667,171.06,147.37333333333333,7.49,23.9,18.16,22.7,0.9,45.0,63.18,63.18,20.61,25.7625,6,147.0
2020-03-16,105.36,251.2,171.49,147.66,4.35,24.73,16.24,20.299999999999997,0.74,37.0,58.09,58.09,16.32,20.4,6,251.0
2020-03-17,103.51,245.03333333333336,220.98,180.6533333333333,10.36,26.68,22.25,27.8125,1.01,50.5,60.26,60.26,20.08,25.099999999999998,6,245.0
2020-03-18,120.69,300.53076923076924,247.75,198.5,27.8,28.46,37.16,46.449999999999996,1.29,64.5,57.37,57.37,20.32,25.4,6,301.0
2020-03-19,81.08,170.26666666666665,249.37,199.57999999999998,26.88,30.28,37.37,46.71249999999999,1.28,64.0,75.19,75.19,21.03,26.2875,6,200.0
2020-03-20,97.02,223.39999999999998,242.08,194.72000000000003,7.16,30.06,21.32,26.65,1.0,50.0,75.99,75.99,15.91,19.8875,6,223.0
2020-03-21,62.74,109.13333333333334,148.6,132.39999999999998,8.53,27.23,19.37,24.2125,0.83,41.5,68.6,68.6,16.96,21.2,6,132.0
2020-03-22,97.39,224.63333333333333,166.64,144.42666666666665,10.8,28.31,21.94,27.425,1.13,56.49999999999999,73.25,73.25,18.65,23.312499999999996,6,225.0
2020-03-23,53.12,88.53333333333333,131.5,121.0,7.7,23.19,18.29,22.8625,0.76,38.0,60.94,60.94,17.93,22.4125,6,121.0
2020-03-24,63.51,111.69999999999999,129.42,119.61333333333332,7.15,22.59,16.48,20.6,0.93,46.5,55.04,55.04,17.2,21.5,6,120.0
2020-03-25,33.4,55.666666666666664,69.49,69.49,8.49,19.43,16.51,20.637500000000003,0.69,34.5,56.24,56.24,17.49,21.862499999999997,6,69.0
2020-03-26,30.82,51.36666666666667,70.77,70.77,3.73,16.9,11.82,14.775,0.49,24.5,45.56,45.56,16.11,20.1375,6,71.0
2020-03-27,20.66,34.43333333333333,43.15,43.15,2.25,15.84,9.51,11.8875,0.43,21.5,46.45,46.45,15.64,19.55,6,46.0
2020-03-28,18.13,30.216666666666665,53.76,53.76,3.88,15.05,10.98,13.725,0.5,25.0,54.3,54.3,15.93,19.9125,6,54.0
2020-03-29,23.75,39.583333333333336,70.72,70.72,2.26,13.78,8.82,11.025,0.51,25.5,65.98,65.98,15.21,19.0125,6,71.0
2020-03-30,28.83,48.05,62.23,62.23,1.16,13.42,7.13,8.9125,0.49,24.5,73.03,73.03,15.15,18.9375,6,73.0
2020-03-31,32.84,54.73333333333334,63.8,63.8,2.05,13.51,8.71,10.887500000000001,0.52,26.0,76.96,76.96,15.46,19.325,6,77.0
2020-04-01,25.37,42.28333333333333,53.06,53.06,2.12,14.19,8.19,10.2375,0.5,25.0,67.06,67.06,15.1,18.875,6,67.0
2020-04-02,31.6,52.66666666666667,78.37,78.37,1.36,13.36,7.26,9.075,0.54,27.0,71.85,71.85,14.48,18.1,6,78.0
2020-04-03,28.89,48.15,55.24,55.24,2.41,12.11,8.26,10.325,0.51,25.5,88.42,88.42,14.56,18.2,6,88.0
2020-04-04,39.71,66.18333333333334,70.47,70.47,2.19,14.01,7.91,9.8875,0.63,31.5,73.49,73.49,14.38,17.975,6,73.0
2020-04-05,56.87,94.78333333333333,102.14,101.42666666666666,4.88,16.49,11.27,14.0875,0.88,44.0,75.14,75.14,14.92,18.65,6,101.0
2020-04-06,50.19,83.65,94.73,94.73,2.64,15.4,10.05,12.562500000000002,0.71,35.5,75.27,75.27,14.86,18.575,6,95.0
2020-04-07,35.06,58.43333333333334,99.63,99.63,0.81,13.34,6.74,8.425,0.51,25.5,78.7,78.7,13.25,16.5625,6,100.0
2020-04-08,31.37,52.28333333333334,85.42,85.42,1.79,12.31,7.34,9.175,0.47,23.5,78.06,78.06,13.17,16.4625,6,85.0
2020-04-09,36.14,60.233333333333334,76.97,76.97,2.43,12.88,8.68,10.85,0.55,27.500000000000004,85.15,85.15,13.69,17.1125,6,85.0
2020-04-10,67.88,126.26666666666665,126.52,117.67999999999999,3.56,16.97,10.72,13.4,0.95,47.5,64.31,64.31,13.98,17.475,6,126.0
2020-04-11,51.14,85.23333333333333,109.92,106.61333333333333,5.93,17.01,13.33,16.6625,0.87,43.5,83.4,83.4,14.24,17.8,6,107.0
2020-04-12,35.04,58.4,70.88,70.88,2.05,13.39,8.47,10.587500000000002,0.56,28.000000000000004,86.76,86.76,13.06,16.325,6,87.0
2020-04-13,62.67,108.9,135.43,123.62,2.11,15.81,9.12,11.399999999999999,0.79,39.5,70.58,70.58,13.59,16.9875,6,124.0
2020-04-14,68.79,129.3,178.23,152.15333333333334,4.62,17.69,12.75,15.9375,0.95,47.5,63.52,63.52,13.62,17.025,6,152.0
2020-04-15,67.05,123.5,209.9,173.26666666666665,7.32,16.06,12.91,16.1375,0.88,44.0,61.79,61.79,12.61,15.7625,6,173.0
2020-04-16,67.83,126.1,154.01,136.00666666666666,9.44,16.52,13.39,16.7375,0.95,47.5,76.92,76.92,12.56,15.7,6,136.0
2020-04-17,25.81,43.016666666666666,74.71,74.71,1.93,12.82,8.1,10.125,0.52,26.0,91.73,91.72999999999999,11.79,14.7375,6,92.0
2020-04-18,26.22,43.7,92.81,92.81,0.9,12.89,6.51,8.1375,0.49,24.5,88.67,88.67,11.16,13.95,6,93.0
2020-04-19,37.43,62.38333333333333,98.18,98.18,4.39,15.21,9.93,12.4125,0.61,30.5,74.18,74.18,10.99,13.7375,6,98.0
2020-04-20,54.33,90.55,116.3,110.86666666666666,9.57,17.67,16.91,21.1375,0.96,48.0,51.11,51.11,11.21,14.0125,6,111.0
2020-04-21,34.82,58.03333333333333,82.04,82.04,1.03,14.56,7.48,9.35,0.56,28.000000000000004,85.96,85.96,10.92,13.65,6,86.0
2020-04-22,60.84,102.80000000000001,132.54,121.69333333333333,2.42,16.34,9.71,12.137500000000001,0.7,35.0,80.15,80.15,11.07,13.8375,6,122.0
2020-04-23,54.46,90.76666666666667,118.87,112.58,3.13,15.51,10.61,13.2625,0.73,36.5,71.59,71.59,10.67,13.3375,6,113.0
2020-04-24,65.69,118.96666666666665,116.44,110.96,1.5,16.05,8.67,10.8375,0.82,41.0,88.64,88.64,10.78,13.475,6,119.0
2020-04-25,25.6,42.666666666666664,76.31,76.31,2.11,14.19,8.73,10.9125,0.55,27.500000000000004,92.06,92.06,10.51,13.1375,6,92.0
2020-04-26,54.05,90.08333333333333,170.72,147.14666666666668,2.33,13.83,9.09,11.3625,0.64,32.0,83.3,83.3,9.75,12.1875,6,147.0
2020-04-27,27.65,46.083333333333336,63.72,63.72,1.18,12.73,6.72,8.4,0.5,25.0,89.14,89.14,9.66,12.075,6,89.0
2020-04-28,35.9,59.83333333333333,67.74,67.74,2.58,12.6,8.54,10.674999999999999,0.56,28.000000000000004,95.76,95.76000000000002,9.82,12.275,6,96.0
2020-04-29,67.13,123.76666666666665,146.73,131.15333333333334,2.33,13.06,8.44,10.55,0.78,39.0,98.15,98.15,9.82,12.275,6,131.0
2020-04-30,64.75,115.83333333333333,127.26,118.17333333333333,1.03,11.53,5.76,7.2,0.77,38.5,102.86,104.20588235294117,9.84,12.3,6,118.0
