,Date,AQI
0,2020-03-05,73.0
1,2020-03-06,55.0
2,2020-03-07,78.0
3,2020-03-08,120.0
4,2020-03-09,179.0
5,2020-03-10,224.0
6,2020-03-11,106.0
7,2020-03-12,140.0
8,2020-03-13,164.0
9,2020-03-14,123.0
10,2020-03-15,147.0
11,2020-03-16,251.0
12,2020-03-17,245.0
13,2020-03-18,301.0
14,2020-03-19,200.0
15,2020-03-20,223.0
16,2020-03-21,132.0
17,2020-03-22,225.0
18,2020-03-23,121.0
19,2020-03-24,120.0
20,2020-03-25,69.0
21,2020-03-26,71.0
22,2020-03-27,46.0
23,2020-03-28,54.0
24,2020-03-29,71.0
25,2020-03-30,73.0
26,2020-03-31,77.0
27,2020-04-01,67.0
28,2020-04-02,78.0
29,2020-04-03,88.0
30,2020-04-04,73.0
31,2020-04-05,101.0
32,2020-04-06,95.0
33,2020-04-07,100.0
34,2020-04-08,85.0
35,2020-04-09,85.0
36,2020-04-10,126.0
37,2020-04-11,107.0
38,2020-04-12,87.0
39,2020-04-13,124.0
40,2020-04-14,152.0
41,2020-04-15,173.0
42,2020-04-16,136.0
43,2020-04-17,92.0
44,2020-04-18,93.0
45,2020-04-19,98.0
46,2020-04-20,111.0
47,2020-04-21,86.0
48,2020-04-22,122.0
49,2020-04-23,113.0
50,2020-04-24,119.0
51,2020-04-25,92.0
52,2020-04-26,147.0
53,2020-04-27,89.0
54,2020-04-28,96.0
55,2020-04-29,131.0
56,2020-04-30,118.0
57,2020-05-01,130.0
58,2020-05-02,113.0
59,2020-05-03,101.0
60,2020-05-04,98.0
61,2020-05-05,98.0
62,2020-05-06,121.0
63,2020-05-07,116.0
64,2020-05-08,144.0
65,2020-05-09,155.0
66,2020-05-10,109.0
67,2020-05-11,104.0
68,2020-05-12,121.0
69,2020-05-13,128.0
70,2020-05-14,120.0
71,2020-05-15,105.0
72,2020-05-16,121.0
73,2020-05-17,161.0
74,2020-05-18,109.0
75,2020-05-19,151.0
76,2020-05-20,121.0
77,2020-05-21,132.0
78,2020-05-22,148.0
79,2020-05-23,228.0
80,2020-05-24,185.0
81,2020-05-25,185.0
82,2020-05-26,205.0
83,2020-05-27,315.0
84,2020-05-28,320.0
85,2020-05-29,103.0
86,2020-05-30,88.0
87,2020-05-31,89.0
88,2020-06-01,112.0
89,2020-06-02,99.0
90,2020-06-03,131.0
91,2020-06-04,161.0
92,2020-06-05,97.0
93,2020-06-06,125.0
